id	name	abb	category	pmid	source	samples	species	min	max	med	avg	dev	und	cut	ovr	inc	m	f	stage	who	region	methods	results	conclusions	validated	diag	prog	pred	ther	cost	relevance	implications	effect	comments	curator
17	RANBP17;ZNF734;NLRP2;GPR1;CCDC81;SH3RF1;TM7SF4	RANBP17;ZNF734, NLRP2;GPR1;CCDC81;SH3RF1;TM7SF4	DNA	30132538	Tissue	GEO datasets (GSE15824, GSE51062)	Homo Sapiens	NA									NA		IV	NA	China	Differential gene expression analysis;Gene Ontology and pathway enrichment analysis;Integration of protein-protein interaction	In total, 9,341 DEGs were identified in the GBM samples, including 9,175 upregulated genes and 166 downregulated genes;After verification, the top four genes RANBP17, ZNF734, NLRP2 and GPR1 were identified as prognostic biomarkers for GBM;The top four prognostic genes affected by sex were also identified and were as follows: CCDC81, NLRP2, SH3RF1 and TM7SF4	The identified DEGs and hub genes contribute to the understanding of the molecular mechanisms underlying the development of GBM and they may be used as diagnostic and prognostic biomarkers and molecular targets for the treatment of patients with GBM in the future	No	NA	Yes	NA	NA	NA	NA	NA	NA	Complete in silico study	Erik Samuelsson
22	Adrenocortical dysplasia expression	ACD	Protein	30080989	Tissue;Cell line	GBM=33;AA=17;Grade II A=12	Homo Sapiens	NA									NA		II;III;IV	2007	Italy	X-ray irradiation;Establishment of radioresistant cel lines;Clonogenic assay;Western blot;Telomerase activity assay;Real-time PCR;Kaplan-Meier curves;Pearson test	ACD expression appeared strongly upregulated in higher grade gliomas, and its expression was significantly correlated to grading and poor prognosis;In glioma cell lines, ACD expression pattern was similar to those observed in glioma tissues;In irradiated cells, ACD expression was increased in an ionizing radiation dose-dependent manner;A higher expression of ACD was observed in the radioresistant clones than parental cells;Silencing of ACD led to the enhanced radiation sensitivity, decreased telomerase activity and cyclin D1 expression, reduced expression of BIRC1, and finally to the upregulation of caspase-3	Study represents the first report, which demonstrated the expression pattern of ACD in gliomas and its prognostic value;Results suggested that ACD is involved in glioblastoma radioresistance, likely through the modulation of telomerase activity, proliferation, and apoptosis;ACD might represent a potential molecular biomarker and a novel therapeutic target in glioblastoma	No	NA	Potential	NA	Potential	NA	NA	NA	NA	A first study for ACD	Erik Samuelsson
28	lncRNA 	lncRNA 	RNA	30005851	Tissue	GBM=516 (TCGA)	Homo Sapiens	NA									NA		IV	2007	China	The expression data of a total of 516 GBM samples were downloaded from TCGA (The Cancer Genome Atlas). We identified the differentially expressed lncRNAs between cancer and normal tissues and performed annotation of differentially expressed lncRNAs to figure out the functions and pathways they were enriched in. Finally, cluster analysis was performed on the expression data of lncRNA and the samples were divided into four kinds, which were then used in the survival analysis. A total of 90 down-regulated lncRNAs and 224 up-regulated lncRNAs were screened out, which were mostly enriched in pathways of Alzhermer's disease and apoptosis.	Their neighborhood genes were mostly enriched in genes sets of RTN1 and MAPK10.The characterization of differentially expressed lncRNAs was found out and the mostly enriched pathways were obtained to figure out the regulation mechanism of lncRNA.	Our findings may provide evidence of the potential role of lncRNA in the diagnosis, prognosis and target therapy of GBM.	Potential	Potential	Potential	NA	Potential	NA	NA	NA	NA	Standard  TCGA paper that plots a specific gene panel to patient survivability. 	Erik Samuelsson
32	TERT promoter;O6-methyl guanine O6-methylatransferase promoter methylation;Dichotomized MRI-derived clinical features;IDH mutation	TERT;MGMT;IDH	DNA	29984907	Tissue;Imaging	304 GBM	Homo Sapiens	NA									NA		II;III;IV	Post 2010	China	Sanger sequencing;pyrosequencing;MRI;Statistical Analysis	Wild-type IDH was present in 89.8% of the adult glioblastoma samples, and TERT promoter mutations and MGMT promoter methylation were observed in 66.42% and 38.49% of all adult primary glioblastomas, respectively. Age and MGMT promoter methylation were identified as independent prognostic biomarkers, and the TERT promoter mutation status and MGMT promoter methylation status, when combined with other tumor-related factors, generated several different survival subgroups. None of the factors investigated in this study predicted the MGMT promoter status, and MRI-detected necrosis was positively associated with TERT promoter mutations.  	MGMT promoter methylation and TERT promoter mutations, combined with MRI-derived and clinical features, revealed different survival subgroups with distinct responses to current treatments, and this information increases the ability to predict the survival of adult primary glioblastoma patients. MRI-detected necrosis often indicates the presence of TERT promoter mutations.	Concrete;Potential	NA	YES	NO	Potential	NA	Utilizing established biomarkers as a means of finding subpopulations for therapeutics, potentially helping to define populations for clinical trials.	Subpopulation definitions for selecting cohorts in drug trials. 	Potential	MGMT promoter methylation and TERT promoter mutations, combined with MRI-derived and clinical features, revealed different survival subgroups with distinct responses to current treatments, and this information increases the ability to predict the survival of adult primary glioblastoma patients. MRI-detected necrosis often indicates the presence of TERT promoter mutations.  	Erik Samuelsson
35	TP73-AS1;AC078883.3;RP11-944L7.4;HAR1B;RP4-635E18.7;HOTAIR;SAPCD1-AS1;AC104653.1;RP5-1172N10.2	TP73-AS1;AC078883.3;RP11-944L7.4;HAR1B;RP4-635E18.7;HOTAIR;SAPCD1-AS1;AC104653.1;RP5-1172N10.2	RNA	29959764	Tissue	152 GBM	Homo Sapiens	NA									NA		III	Post 2010	USA	multivariate Cox regression analysis;Pearson correlation coefficient and z test	Univariate Cox regression analysis revealed 19 lncRNAs with survival time dependency. These nine lncRNAs were used to construct our survival model via multivariate Cox regression analysis.The result showed these genes were enriched with ion binding, transport, cell-cell signaling, plasma membrane parts, and more, and they were mainly related to neuroactive ligand-receptor interaction pathway, calcium signaling pathway, and the mitogen-activated protein kinase signaling pathway.	The nine lncRNAs were a set of biomarkers for the prognosis of patients with GBM, enabling a more accurate prediction of survival and revealing more biological functions.	Potential	NA	NA	Potential	NA	NA	NA	NA	NA	Standard statistical analysis paper of TCGA database. 	Erik Samuelsson
42	CHEK1	CHEK1	DNA	29781781	Tissue	26 High grade astrocytoma (HGA)	Homo Sapiens	NA									NA		NA	Post 2010	China	receiver operating characteristic (ROC) curve analysis for all the genes based on gene expression value and the survival time of patients.;Protein–protein interaction (PPI) network construction and module analysis;	A total of 598 genes were identified as significant risk genes for prognosis. Moreover, the genes in the network module mainly participated in the pathways such as cell cycle and cell cycle, mitotic. Drug target analysis showed that seven genes were recorded in Drugbank database, and there were as many as 32 drug records of CHEK1.		Potential	NA	Potential	NA	Potential	NA	NA	NA	NA	Standard microarray database analysis paper.	Erik Samuelsson
43	Minichromosome maintenance protein 6 expression	MCM6	Protein	29753008	Tissue	66 grade Ⅱ, 75 grade Ⅲ, and 282 grade Ⅳ	Homo Sapiens	NA									NA		II;III;IV	Post 2010	China	Analysis of transcriptional levels and prognostic value of MCMs in 325 gliomas from the Chinese Glioma Genome Atlas (CGGA).;IHC;Statistical analysis	MCM6 presented high expression and was associated with poor survival. Immunohistochemistry analysis of an independent data set of 423 glioma tissues confirmed the overexpression of MCM6 protein, especially in glioblastomas with shorter overall survival. Importantly, a combination of MCM6 overexpression with IDH1 mutation further improved the prediction of the prognosis of glioblastomas. Patients with IDH1 mutation and low MCM6 expression exhibited the longest survival, whereas those with high MCM6 expression and wild-type IDH1 showed the shortest.	. Collectively, our observation indicates that MCM6 is a novel potential biomarker for predicting poor prognosis of the patients with glioma.	Potential	NA	Potential	Potential	NA	NA	NA	NA	NA	Standard patient survival correlation with biomarker paper. 	Erik Samuelsson
47	IGFBP2	IGFBP2	Protein	29721393	Tissue	25 GBM	Homo Sapiens	NA									NA		II;III;IV	Post 2010	China	IHD;Student’s t-test;Chi-square test;Kaplan–Meier survival curve and log-rank tests;PCA	e found that IGFBP2 expression was upregulated in high-grade glioma and GBM and downregulated in IDH mutant glioma. Increased IGFBP2 accompanied PTEN loss and EGFR amplification. Bioinformatic analysis revealed that IGFBP2 is related to immunological processes. We further selected specific immunologic related gene sets and found IGFBP2 predominated immunosuppressive activities in GBM. Furthermore, we explored the relationship between IGFBP2 and genes that were well-characterized glioma-mediated immunosuppressive molecules to investigate the potential effect of IGFBP2. We discovered that IGFBP2 was correlated with CHI3L1, TNFRSF1A, LGALS1, TIMP1, VEGFA, ANXA1 and LGALS3, which were classic immunosuppressive biomarkers. 	Higher IGFBP2 expression predicted unfavorable survival for patients with GBM. Our findings implied that IGFBP2 is involved in immunosuppressive activities and is an independent unfavorable prognostic biomarker for patients with GBM. IGFBP2 is a potential immunotherapeutic target for GBM in future clinical trials.	Potential	NA	Potential	NA	Potential	NA	NA	NA	NA	GFBP2 correlates with CHI3L1, TNFRSF1A, LGALS1, TIMP1, VEGFA, ANXA1 and LGALS3, all classic immunosuppressive biomarkers. A potential immunosuppresive biomarker for GBM. 	Erik Samuelsson
56	Oncogenic microRNA-20a	microRNA-20a	RNA	29625108	Tissue	46 primary glioma (7 non-tumor, 15 Grade II, 14 Grade III, 17 Grade IV)	Homo Sapiens	NA									NA		II;III;IV	Post 2010	China	qRT-PCR, Cell proliferation assay, Trypan blue staining, Western blot analysis, Chromatin immunoprecipitation (CHIP) assay	The findings of the current study demonstrate presence of the IDH1 R132H mutation in primary human glioblastoma cell lines with upregulated HIF-1α expression, downregulating c-MYC activity and resulting in a consequential decrease in miR-20a, which is responsible for cell proliferation and resistance to standard temozolomide treatment.	Elucidating the mechanism underlying oncogenic miR-20a activity establishes its role among well-established signaling pathways (i.e. HIF/c-MYC), and may be a meaningful prognostic biomarker or target for novel therapies, among patients with IDH1-mutant glioma.	Potential	NA	Potential	NA	NA	NA	NA	NA	NA	Paper assesses microrna biomarker alongside established biomarker (IDH1) for secondary glioblastoma, and attempts to elucidate its mechanism. Another potential biomarker paper.	Erik Samuelsson
57	Gene panel		DNA	29614978	Tissue	Five hundred fifty eight GBM gene expression profiles 	Homo Sapiens	NA									NA		IV	Post 2010	South Africa	Genes with high expression variance was subjected to pathway enrichment analysis and those having roles in chemoradioresistance pathways were used in expression-based feature selection. A modified Support Vector Machine Recursive Feature Elimination algorithm was employed to select a subset of these genes that discriminated between rapidly-progressing and slowly-progressing patients.	Survival analysis on TCGA samples not used in feature selection and samples from four GBM subclasses, as well as from an entirely independent study, showed that the 35-gene signature discriminated between the survival groups in all cases (p<0.05) and could accurately predict survival irrespective of the subtype. In a multivariate analysis, the signature predicted progression-free and overall survival independently of other factors considered.	We propose that the performance of the signature makes it an attractive candidate for further studies to assess its utility as a clinical prognostic and predictive biomarker in GBM patients. Additionally, the signature genes may also be useful therapeutic targets to improve both progression-free and overall survival in GBM patients.	Potential	NA	Potential	Potential	Potential	NA	The genes in the panel cover most of the common pathways seen in GBM (see Verhaak 2010).	NA	NA	Another standard Cancer Genome Atlas and TCGA paper that plots a specific gene panel to patient survivability. Strong basis in the Verhaak papers. 35-gene panel available here: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5883543/table/Tab2/?report=objectonly	Erik Samuelsson
63	ZEB2;ZEB1	ZEB2;ZEB1	Protein	29476046	Tissue	91 GBM	Homo Sapiens	NA									NA		IV	Post 2010	China	We detected the expression of ZEB1 and ZEB2 in 91 cases of GBM with immunohistochemistry and investigated the correlation between clinicopathological factors and ZEB family expression with Fisher test. By univariate analysis with Kaplan-Meier test, we explored the prognostic significance of ZEB1/2 expression and the clinicopathological factors in GBM. By multivariate analysis with the Cox regression model, we identified the independent prognostic factors in GBM.	The percentages of ZEB1 high expression and ZEB2 high expression were 31.9% (29/91) and 41.9% (36/91), respectively. High expression of ZEB2 was significantly associated with lower survival rate of GBM patients (P=0.001). ZEB2, lower KPS score (P=0.004), gross total resection (P<0.001) and higher Ki67 percentage (P=0.001) were notably correlated to worse prognosis of GBM. With multivariate analysis, high expression of ZEB2 was demonstrated to be an independent prognostic factor indicating unfavorable prognosis of GBM (P=0.001, HR=3.86, and 95%CI=1.61-9.23).	High expression of ZEB2 is an independent prognostic factor predicting unfavorable prognosis of GBM, indicating that ZEB2 or its downstream proteins may be potential drug targets of GBM therapy.	Potential	NO	Potential	Potential	Potential	NA	This study examines the well known stimulators ZEB1 and ZEB2, involved in EMT.	NA	NA	No significant association with ZEB1 or ZEB2 expression was observed among all the detected clinicopathological factors. Only association was with patient outcome.	Erik Samuelsson
64	Capillary morphogenesis protein 2	CMG2	Protein	29473166	Tissue	48 glioma patients 	Homo Sapiens	NA									NA		II;III;IV	Post 2010	China	Transcriptomic analysis of GBM cells with or without CMG2 overexpression indicated that a panel of oncogenic signaling pathways was altered with CMG2 upregulation, implying that CMG2 might orchestrate these signaling pathways to regulate the growth of GBM cells. Yes-associated protein 1 (YAP1) activity was enhanced by CMG2 overexpression but suppressed with CMG2 deficiency.  Methods: IHC, immunofluorescence, EdU assay, RNA sequencing	CMG2 overexpression was associated with increased tumor grade and poor patient survival. CMG2 promoted G2/M-phase transition during the cell cycle of GBM cells in vitro and contributed to tumor growth in vivo. We also observed that CMG2 is implicated in the activation of extracellular signal-regulated kinases (ERKs), epithelial-mesenchymal transition (EMT), migration, and invasion in GBM cells. CMG2 overexpression predicts poor prognosis for glioma patients 	Altogether, CMG2 functioned as an oncogene in glioma cells and is a potential prognostic biomarker or therapeutic target for the clinical treatment of glioma.	Potential	NO	Potential	NA	Potential	NA	NA	NA	NA	Standard patient survival correlation with biomarker paper, with cell culture and xenograft experiments to assess pathway function.	Erik Samuelsson
79	Annexin A2 pseudogenes		DNA	29291003	Tissue	99	Homo Sapiens	NA									NA		II;III;IV	Post 2010	China	In this study, Differentially Expressed Pseudogenes (DEPs) between glioblastomas and non-tumor controls were found by bioinformatics analysis, of which the annexin A2 pseudogenes (ANXA2P1, ANXA2P2 and ANXA2P3) were significantly up-regulated, along with the parent gene annexin A2 (ANXA2). Among four glioblastoma subtypes, ANXA2P1 and ANXA2P2 were preferentially expressed in mesenchymal subtype and less expressed in proneural subtype. Meanwhile, Pearson's correlation analysis revealed that the expression level of ANXA2 was positively correlated with ANXA2 pseudogenes expression. Then, the expression patterns of ANXA2 and its pseudogenes were validated in diffuse glioma specimens (n=99) and non-tumor tissues (n=12) by quantitative real-time PCR (qRT-PCR). Additionally, Kaplan-Meier analysis revealed that highly expressed ANXA2 and annexin A2 pseudogenes were associated with the poor survival outcome of glioma patients. Cox regression analyses suggested that ANXA2, ANXA2P1 and ANXA2P2 were the independent prognosis factors for gliomas. Furthermore, down-regulation of ANXA2 and ANXA2 pseudogenes might contribute to the improvement of patients' survival who received chemotherapy and radiotherapy.	Highly expressed ANXA2 and its pseudogenes were associated with poor survival, and could be the independent prognosis factors for glioma patients. Additionally, down-regulation of ANXA2, ANXA2P1 and ANXA2P2 might contribute to the improvement of the OS for glioma patients who received chemotherapy and radiotherapy. These results implied that ANXA2 pseudogenes and ANXA2 could be potentially used as prognosis biomarkers and therapeutic targets for gliomas.	In summary, this study demonstrated that ANXA2 pseudogenes and ANXA2 were up-regulated in diffuse gliomas tissue compared to normal brain tissue, and preferentially expressed in mesenchymal subtypes of glioblastoma.	Potential	Potential	Potential	NA	Potential	NA	NA	NA	NA	Standard examination gene upregulation and downregulation paired to patient survival outcome.	Erik Samuelsson
83	NES mRNAs;TNC mRNAs	NES mRNAs;TNC mRNAs	RNA	29228611	Tissue	8 GBM	Homo Sapiens	NA									NA		IV	Post 2010	China	Here, we performed proteomic profiling of 8 GBM and paired normal brain tissues. In parallel, comprehensive integrative genomic analysis of GBM was performed in silico using mRNA microarray and sequencing data. Two whole transcript expression profiling cohorts were used - a set of 3 normal brain tissues and 22 glioma tissue samples and a cohort of 5 normal brain tissues and 49 glioma tissue samples. A validation cohort included 529 GBM patients from The Cancer Genome Atlas datasets.	We identified 36 molecules commonly changed at the level of the gene and protein, including up-regulated TGFBI and NES and down-regulated SNCA and HSPA12A. Single amino acid variant analysis identified 200 proteins with high mutation rates in GBM samples. We further identified 14 differentially expressed genes with high-level protein modification, among which NES and TNC showed differential expression at the protein level. 	Moreover, higher expression of NES and TNC mRNAs correlated with shorter overall survival, suggesting that these genes constitute potential biomarkers for GBM.	Potential	NA	Potential	NA	Potential	NA	NA	NA	NA	This paper set out to illustrate the potential power of a method:'Taken together, our proteomic characterization of the genomically annotated GBM clarifies the power of integrated proteomics and genomics analysis and provides a molecular basis and valuable insight for new advances in GBM therapy. Moreover, our protein coding alteration approach provided new insights into their roles in GBM and may be broadly extended to understand roles of protein mutation in other cancers.'	Erik Samuelsson
85	Glycolysis-based ten-gene signature		DNA	29169920	Tissue	NA	Homo Sapiens	NA									NA		II;III;IV	Post 2010	China (TCGA Database, USA)	Herein, based on glioma datasets including TCGA (The Cancer Genome Atlas), REMBRANDT (Repository for Molecular Brain Neoplasia Data) and GSE16011, we established a glycolytic gene expression signature score (GGESS) by incorporating ten glycolytic genes. Then we performed survival analyses and investigated the correlations between GGESS and IDH1 mutation as well as the molecular subtypes in GBMs. 	The results showed that GGESS independently predicted unfavorable prognosis and poor response to chemotherapy of GBM patients. Notably, GGESS was high in GBMs of mesenchymal subtype but low in IDH1-mutant GBMs. Furthermore, we found that the promoter regions of tumor-promoting glycolytic genes were hypermethylated in IDH1-mutant GBMs. Finally, we found that high GGESS also predicted poor prognosis and poor response to chemotherapy when investigating IDH1-wildtype GBM patients only. 	Collectively, glycolysis represented by GGESS predicts unfavorable clinical outcome of GBM patients and is closely associated with mesenchymal subtype and IDH1 mutation in GBMs.	Potential	NA	Potential	Potential	NA	NA	NA	NA	NA	Standard database analysis paper that plots a specific gene panel to patient survivability, IDH-wt status and subtype.	Erik Samuelsson
86	IL-13 receptor subunits α1;IL-13 receptor subunits α2	IL-13Rα1;IL-13Rα2	Protein	29168083	Tissue	595 GBM+10 normal brain tissue from TCGA	Homo Sapiens	NA									NA		NA	NA	NA	Microarray analysis;Kaplan-Meier method	more than 40% of GBM samples highly positive for IL-13Rα2 mRNA;less than 16% samples highly positive for IL-13Rα1 mRNA;subjects with high IL-13Rα1 and α2 mRNA expressing tumors associated with a significantly lower survival rate irrespective of their treatment compared to subjects with IL-13Rα1 and α2 mRNA negative tumors;IL-13Rα2 gene expression associated with GBM resistance to temozolomide (TMZ) chemotherapy;expression of IL-13Rα2 gene does not correlate with the expression of genes for other chains involved in the formation of IL-13R complex (IL-13Rα1 or IL-4Rα) in GBM;positive correlation observed between IL-4Rα and IL-13Rα1 gene expression;IL-13Rα2 gene expression microarray data verified by RNA-Seq data; In depth analysis of TCGA data reveales that immunosuppressive genes (such as FMOD, CCL2, OSM, etc.) highly expressed in IL-13Rα2 positive tumors, but not in IL-13Rα2 negative tumors	direct correlation between high level of IL-13R mRNA expression and poor patient prognosis;immunosuppressive genes associated with IL-13Rα2 may play a role in tumor progression;important implications in understanding the role of IL-13R in the pathogenesis of GBM and potentially other cancers	Potential	NA	Potential	NA	Potential	NA	NA	NA	NA	NA	Vanessa
94	AK098425;AL833059;AK056155;CR613436	AK098425;AL833059;AK056155;CR613436	RNA	28978068	Tissue	GBM=159;Grade I=8;Grade II=24;Grade III=85	Homo Sapiens	NA									NA		I;II;III;IV	2007	China	Significance analysis of microarrays;Unsupervised hierarchial clustering;Chi-square test;Kaplan Meier analysis;Cox regression;Time-dependent ROC curve analysis	Identified a novel four-lncRNA signature which was closely related to the prognosis of patients with GBM;The prognostic value of this signature was verified in the test set of 80 patients; Functional analysis suggested that the four lncRNAs associated with survival of patients with GBM may be involved in cancer-related biological processes and pathways and their deregulation may lead to GBM tumorigenesis and progression;The AUC for the four-lncRNA signature prognostic model was 0.843 at 36 months of overall survival	These novel lncRNA biomarkers will improve our understanding of the molecular mechanisms during the development and progression of glioma and provide novel diagnostic or prognostic markers and therapeutic targets for gliomas	Yes	Potential	Potential	NA	NA	NA	NA	NA	NA	Development of a novel four-lncRNA signature that accurately predicts survival in patients with GBM	Vanessa
98	Three miRNA signature	hsa-miR-222;hsa-miR-302d;hsa-miR-646	RNA	28938564	Tissue	GBM=563	Homo Sapiens	NA									NA		IV	2007	USA;China	Principal component analysis;LASSO method;Multivariate logistic regression;Cox regression analysis;Kaplan-Meier curves;ROC curve analysis	The area under the ROC curve (AUC) for the three miRNA signature predicting 5-year survival was 0.894 in the testing set and 0.841 in all GBM patients;High risk patients had significantly shorter OS than patients with low risk	The results from this study support a three miRNA signature for outcome prediction of GBM;These results provided a new prospect for prognostic biomarker of GBM	Yes	NA	Potential	NA	NA	NA	NA	NA	NA	Three miRNA signature identifed using TCGA data;not single miRNA biomarker	Vanessa
113	miR-524	miR-524	RNA	28778566	Tissue	301 samples of mRNA microarray data;301 samples of miRNA microarray data from CGGA;630 glioma samples from TCGA	Homo Sapiens	NA									NA		NA	NA	NA	Microarray analysis;Kaplan-Meier method	miR-524-5p and miR-524-3p supression in GBM associated with EGFR overexpression and EGFRvIII mutations;miRNAs improve overall survival (OS) of glioma patients;miRNAs overexpression can re4strain glioma cell migration, proliferation and cell cycle and control tumor formation;both miRNAs have synergistic inhibitory effect;GFR amplification/EGFRvIII mutation can repress the expression of Pri-miR-524 by histone modification;miRNAs inhibt TGF/β, Notch and the Hippo pathway by targeting Smad2, Hes1 and Tead1, respectively;pathways repressed their common downstream transcription factor, C-myc; C-myc binds to the promoter region of EGFR/EGFRvIII and activates its expression	miR-524 mediates EGFR/EGFRvIII stimulating effecrt;may serve as potential therapeutic agent and classical-specific biomarker for glioma development	Potential	NA	NA	NA	NA	NA	NA	NA	NA	They type of biomarker identified is not elaborated	Vanessa
119	Integrin a7	ITGA7	Protein	28602620	Tissue	raw microarray data from TCGA;raw data from second study on glioma samples from GEO database (GSE4290) consiting of 107 tumor samples (26 A;81 GM)+23 non-tumor samples;data from REMBRANDT	Homo Sapiens	NA									NA		NA	NA	NA	mRNA analysis	ITGA7 expression negatively correlates with survival of patients with both low-and high grade glioma;ITGA7 oplays keyrole in growth and invasiveness of GSCs	ITGA7 can be a GBM biomarker and a candidate therapeutic target	Potential					NA	NA	NA	targeting of ITGA7 by RNAi or by blocking mABs impaires laminin-indcued signallinf and leads to significant delay in tumor engraftment and strong reduction in tumor size and onvasion	This paper is a mess and in my opinion the identification of the biomarker is not the main message;could be excluded?!;"was supported by the MRTN-CT" an ITN? This is what is done in an ITN? JESUS	Vanessa
121	miR-299	miR-299	RNA	28531325	Tissue	446 various cancers including 20 GBM+94 normal controls from Geo database (GSE61741);36 GBM samples	Homo Sapiens	NA									NA		NA	NA	NA	Microarray;RT-qPCR; target gene prediction software (DIANA-TarBase, Targetscan and miRDB);RT-qPCR for fresh samples;Kaplan-Meier method	miR-299 upregulated in GBM;patietns with low miR-299 expression show longer overall survival (OS) compared to those with high exoression;RNA polymerase II elongation factor ELL2 identified as miR-299 direct target;high expression of ELL2+miR-299 downreulation correlate with shorter median OS	ELL2 is direct target of miR-299;increased ELL2 expression and miR-299 downregulation associated with GBM progression and poor prognosis;ELL2 and miR-299 might have prognostic value;could be used as tumor biomarker for GBM diagnosis	Potential	Potential	NA	Potential	NA	NA	NA	NA	NA	NA	Vanessa
122	 O6-methylguanine-DNA methyltransferase promoter methylation	MGMT	DNA	28484518	Tissue	GBM=72	Homo Sapiens	NA									NA		IV	2007	Germany;USA	Clinical trial;MS-PCR;Comparative genomic hybridisation;Kaplan-Meier curves;Two-sided log-rank test;Univariate Cox regression	Age of onset of the disease showed a significant effect on overall survival (OS);Additional treatment with carmustine wafer (group B) compared to the control group (group A) did not result in improved OS;Patients with a methylated MGMT promotor showed a significant longer OS compared to those patients with unmethylated MGMT promotor;Subgroup analyses revealed that patients with methylated p15 showed a significant shorter OS when administered to group B rather than in group A;In patients additionally treated with carmustine wafer an amplification of 4q12 showed a significant impact on a reduced OS;In group B, a loss of 13q was significantly associated with a longer OS;If a loss of chromosome 10 occurred, patients in group B showed a significantly longer OS	A clinical benefit for the widespread use of additional carmustine wafer implantation could not be found;However, carmustine wafer implantation shows a significantly improved overall survival if parts of chromosome 10 or chromosome 13 are deleted;In cases of 4q12 amplification and in cases of a methylated p15 promotor, the use of carmustine wafers is especially not recommended;The MGMT promoter methylation is a strong prognostic biomarker for benefit from temozolomide and BCNU chemotherapy	No	NA	YES	YES	NA	NA	A strong prognostic marker of benefit from TMZ and BCNU chemotherapy	NA	NA	Paper concludes that MGMT promoter methylation is a strong prognostic Biomarker for benefit from temozolomide and BCNU chemotherapy;no idea how to use it here 	Vanessa
125	Serglycin	SRGN	Protein	28445977	Tissue	GBM and Grade III=101;Grade II=87	Homo Sapiens	NA									NA		II;III;IV	2007	Sweden;UK	qPCR;Immunohistochemistry and immunofluorescence;ANOVA;Kaplan-Meier analysis;Log-rank test	Demonstrated that serglycin is expressed in glioma and that increased expression predicts poor survival of patients;Analysis of serglycin expression in a large cohort of low- and high-grade human glioma samples reveals that its expression is grade dependent and is positively correlated with mast cell (MC) infiltration;Serglycin expression in patient-derived glioma cells is significantly increased upon MC co-culture;This is also accompanied by increased expression of CXCL12, CXCL10, as well as markers of cancer progression, including CD44, ZEB1 and vimentin	Findings indicate the importance of infiltrating MCs in glioma by modulating signaling cascades involving serglycin, CD44 and ZEB1;The present investigation reveals serglycin as a potential prognostic marker for glioma and demonstrates an association with the extent of MC recruitment and glioma progression, uncovering potential future therapeutic opportunities for patients	No	NA	Potential	NA	NA	NA	NA	NA	NA	In general for gliomas but is highly associated with GBM 	Vanessa
126	Subcellular localization of survivin	Survivin	Protein	28430038	Tissue	50 GBM	Homo Sapiens	NA									NA		NA	NA	NA	Immunohistochemical assessment of survivin location (nuclear, cytoplasmic, or both);relationship between survivin localization and overall survival (OS) was assessed with uni- and multivariate analyses including other clinicopathological factors (age, sex, Karnofsky Performance Scale [KPS] score, extent of resection, the use of second-line bevacizumab, O6-methylguanine-DNA methyltransferase [MGMT] status, and MIB-1 labeling index)	patient age, KPS score, extent of resection, MGMT status, and survivin localization significantly correlat with OS;patients with nuclear localization of survivin have significantly shorter OS than those in whom survivin expression was exclusively cytoplasmic;no  significant difference in OS between patents whose survivin expression was exclusively nuclear or nuclear/cytoplasmic	nuclear expression of survivin is a factor for a poor prognosis in GBM patients;subcellular localization of survivin can help to predict OS in GBM patients treated with the standard protocol	Concrete	NA	NA	YES	NA	NA	NA	NA	NA	NA	Vanessa
130	MIR155 host gene 7miR-155 axis	MIR155HG7	RNA	28371892	Tissue	2 glioma gene expression datasets from CGGA and REMBRANDT; 10 normal brain tissue;10 GBM	Homo Sapiens	NA									NA		NA	NA	China	Gene expression analysis;high troughput screening;Kaplan-Meier method;lo-rank test	increased MIR155HG associated with glioma grade, mesenchymal transition, and poor prognosis;protocadherin 9 and protocadherin 7, which act as tumor suppressors by inhibiting the Wnt/β-catenin pathway, direct targets of miR-155-5p and miR-155-3p;NSC141562 identified as a potent small-molecule inhibitor of the MIR155HG/miR-155 axis	MIR155HG/miR-155 axis plays critical role in facilitating glioma progression and serves as a prognostic factor for patient survival in GBM;MIR155HG/miR-155 axis inhibitor NSC141562 may be a useful candidate anti-glioma drug	Potential	NA	Potential	NA	Potential	NA	NA	NA	MIR155HG/miR-155 axis inhibitor NSC141562 may be a useful candidate anti-glioma drug	NA	Vanessa
132	Zinc-finger and hemeoboxes 1	ZHX1	Protein	28351300	Tissue	80GBM+4normal brain tissue obtained from National Center for Biotechnical Information (NCBI) Gene Expression Omnibus (GEO) database (GSE7696 dataset)	Homo Sapiens	NA									NA		NA	NA	NA	Immunohistochemical assessment;Kaplan-Meier method;log-rank test	messenger RNA and protein expressions of ZHX1  higher in the tissues of GBM patients than in normal brain tissues;overexpression was associated with reduced survival	ZHX1 plays crucial roles in the progression of glioblastoma;ZHX1 can be potential prognostic maker and therapeutic target of glioblastoma	Potential	NA	Potential	NA	Potential	NA	NA	the downregulation of ZHX1 decreased the proliferation, migration, and invasion of glioblastoma cells, whereas its upregulation had the opposite effects	NA	NA	Vanessa
